metric,value
sample_count,100.0
inference_mean,26.734704971313477
inference_median,25.783300399780273
inference_std,2.535588427443916
inference_min,24.981975555419922
inference_max,42.42110252380371
inference_95p,29.991638660430908
e2e_mean,27.626497745513916
e2e_median,26.616811752319336
e2e_std,2.746332610956549
e2e_min,25.738000869750977
e2e_max,45.29976844787598
e2e_95p,30.746161937713623
